GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
patientReport,com.mediscreen.patientReport.constants,RiskLevel,0,3,0,0,0,1,0,1,0,1
patientReport,com.mediscreen.patientReport.model,DiabetesTriggers,3,61,0,0,1,1,1,1,1,1
patientReport,com.mediscreen.patientReport.controller,PatientReportController,0,35,0,0,0,9,0,3,0,3
patientReport,com.mediscreen.patientReport.service,PatientReportServiceImpl,2,295,5,45,0,63,5,26,0,6
patientReport,com.mediscreen.patientReport.beans,PatientBean,6,43,0,0,2,7,2,7,2,7
patientReport,com.mediscreen.patientReport.beans,PatientBean.PatientBeanBuilder,26,46,0,0,0,1,3,7,3,7
patientReport,com.mediscreen.patientReport.beans,AppointmentBean,25,22,0,0,4,3,7,3,7,3
patientReport,com.mediscreen.patientReport.beans,PatientBean.Sex,0,24,0,0,0,3,0,1,0,1
patientReport,com.mediscreen.patientReport.beans,AppointmentBean.AppointmentBeanBuilder,15,30,0,0,0,1,2,5,2,5
patientReport,com.mediscreen.patientReport,PatientReportApplication,5,3,0,0,2,1,1,1,1,1
